ASSESSID,TSYEAR,PT_AVAIL,SSB,R,LOCATION,TOTAL,F,CATCH_LANDINGS
WGBFAS-CODBA2532-1964-2007-JENNINGS,1966,5,172018,354062,Eastern Baltic,355416,0.837,134867
WGBFAS-CODBA2532-1964-2007-JENNINGS,1967,5,228679,306727,Eastern Baltic,436280,1.1587,152378
WGBFAS-CODBA2532-1964-2007-JENNINGS,1968,5,233958,240010,Eastern Baltic,422232,1.1303,164472
WGBFAS-CODBA2532-1964-2007-JENNINGS,1969,5,222659,264787,Eastern Baltic,395953,1.0962,169909
WGBFAS-CODBA2532-1964-2007-JENNINGS,1970,5,208842,322278,Eastern Baltic,351666,1.1241,154492
WGBFAS-CODBA2532-1964-2007-JENNINGS,1971,5,184181,432140,Eastern Baltic,314516,0.9133,118217
WGBFAS-CODBA2532-1964-2007-JENNINGS,1972,5,198995,506893,Eastern Baltic,350280,1.0434,143833
WGBFAS-CODBA2532-1964-2007-JENNINGS,1973,5,211991,303683,Eastern Baltic,394362,0.9732,143164
WGBFAS-CODBA2532-1964-2007-JENNINGS,1974,5,262952,293397,Eastern Baltic,500395,0.8311,147815
WGBFAS-CODBA2532-1964-2007-JENNINGS,1975,5,339545,479002,Eastern Baltic,575916,0.6955,194649
WGBFAS-CODBA2532-1964-2007-JENNINGS,1976,5,355564,829398,Eastern Baltic,535740,0.9261,203303
WGBFAS-CODBA2532-1964-2007-JENNINGS,1977,5,326914,615355,Eastern Baltic,533503,0.844,164792
WGBFAS-CODBA2532-1964-2007-JENNINGS,1978,5,379201,425886,Eastern Baltic,712485,0.5358,154009
WGBFAS-CODBA2532-1964-2007-JENNINGS,1979,5,579671,689813,Eastern Baltic,983040,0.4952,227699
WGBFAS-CODBA2532-1964-2007-JENNINGS,1980,5,696743,693588,Eastern Baltic,1026484,0.7342,347619
WGBFAS-CODBA2532-1964-2007-JENNINGS,1981,5,666132,472372,Eastern Baltic,984216,0.8091,330742
WGBFAS-CODBA2532-1964-2007-JENNINGS,1982,5,670941,302918,Eastern Baltic,1057368,0.7301,316052
WGBFAS-CODBA2532-1964-2007-JENNINGS,1983,5,645257,253071,Eastern Baltic,1003056,0.7124,332148
WGBFAS-CODBA2532-1964-2007-JENNINGS,1984,5,657665,260194,Eastern Baltic,920296,0.8896,391952
WGBFAS-CODBA2532-1964-2007-JENNINGS,1985,5,544907,368042,Eastern Baltic,737745,0.7334,315083
WGBFAS-CODBA2532-1964-2007-JENNINGS,1986,5,399365,224249,Eastern Baltic,547627,1.0936,252558
WGBFAS-CODBA2532-1964-2007-JENNINGS,1987,5,320453,122204,Eastern Baltic,492334,0.9196,207081
WGBFAS-CODBA2532-1964-2007-JENNINGS,1988,5,299235,128168,Eastern Baltic,462354,0.8401,194787
WGBFAS-CODBA2532-1964-2007-JENNINGS,1989,5,240203,82818,Eastern Baltic,352763,1.1483,179178
WGBFAS-CODBA2532-1964-2007-JENNINGS,1990,5,215801,139198,Eastern Baltic,271296,1.2451,153546
WGBFAS-CODBA2532-1964-2007-JENNINGS,1991,5,151173,182787,Eastern Baltic,192718,1.4046,122517
WGBFAS-CODBA2532-1964-2007-JENNINGS,1992,5,92482,127033,Eastern Baltic,133388,1.1232,54882
WGBFAS-CODBA2532-1964-2007-JENNINGS,1993,5,113098,119350,Eastern Baltic,173239,0.4482,45188
WGBFAS-CODBA2532-1964-2007-JENNINGS,1994,5,192987,115321,Eastern Baltic,267544,0.6939,93380
WGBFAS-CODBA2532-1964-2007-JENNINGS,1995,5,240468,87785,Eastern Baltic,314734,0.7883,107712
WGBFAS-CODBA2532-1964-2007-JENNINGS,1996,5,167132,149310,Eastern Baltic,227676,0.963,121877
WGBFAS-CODBA2532-1964-2007-JENNINGS,1997,5,143537,152602,Eastern Baltic,203651,0.9594,88600
WGBFAS-CODBA2532-1964-2007-JENNINGS,1998,5,110992,174997,Eastern Baltic,177331,1.001,67429
WGBFAS-CODBA2532-1964-2007-JENNINGS,1999,5,89234,135778,Eastern Baltic,179266,1.0127,72989
WGBFAS-CODBA2532-1964-2007-JENNINGS,2000,5,114887,122325,Eastern Baltic,213725,1.1271,89168
WGBFAS-CODBA2532-1964-2007-JENNINGS,2001,5,103901,108062,Eastern Baltic,170783,1.2907,91325
WGBFAS-CODBA2532-1964-2007-JENNINGS,2002,5,82827,89799,Eastern Baltic,140349,1.1365,67740
WGBFAS-CODBA2532-1964-2007-JENNINGS,2003,5,80685,172901,Eastern Baltic,135440,0.9254,71386
WGBFAS-CODBA2532-1964-2007-JENNINGS,2004,5,78648,168071,Eastern Baltic,125877,1.3783,67768
WGBFAS-CODBA2532-1964-2007-JENNINGS,2005,5,70762,129685,Eastern Baltic,155392,0.9713,55254
NWWG-CODICE-1952-2006-MINTO,1955,5,1137000,221000,Iceland Grounds,2357000,0.29,538000
NWWG-CODICE-1952-2006-MINTO,1956,5,963000,289000,Iceland Grounds,2081000,0.29,481000
NWWG-CODICE-1952-2006-MINTO,1957,5,937000,154000,Iceland Grounds,1878000,0.31,452000
NWWG-CODICE-1952-2006-MINTO,1958,5,1071000,193000,Iceland Grounds,1865000,0.35,509000
NWWG-CODICE-1952-2006-MINTO,1959,5,1032000,129000,Iceland Grounds,1828000,0.32,453000
NWWG-CODICE-1952-2006-MINTO,1960,5,887000,178000,Iceland Grounds,1753000,0.37,465000
NWWG-CODICE-1952-2006-MINTO,1961,5,568000,204000,Iceland Grounds,1496000,0.36,375000
NWWG-CODICE-1952-2006-MINTO,1962,5,704000,216000,Iceland Grounds,1492000,0.38,387000
NWWG-CODICE-1952-2006-MINTO,1963,5,649000,229000,Iceland Grounds,1315000,0.46,410000
NWWG-CODICE-1952-2006-MINTO,1964,5,603000,320000,Iceland Grounds,1219000,0.55,434000
NWWG-CODICE-1952-2006-MINTO,1965,5,430000,172000,Iceland Grounds,1023000,0.58,394000
NWWG-CODICE-1952-2006-MINTO,1966,5,376000,248000,Iceland Grounds,1032000,0.59,357000
NWWG-CODICE-1952-2006-MINTO,1967,5,337000,180000,Iceland Grounds,1103000,0.56,345000
NWWG-CODICE-1952-2006-MINTO,1968,5,305000,189000,Iceland Grounds,1223000,0.72,381000
NWWG-CODICE-1952-2006-MINTO,1969,5,413000,139000,Iceland Grounds,1326000,0.56,406000
NWWG-CODICE-1952-2006-MINTO,1970,5,449000,273000,Iceland Grounds,1337000,0.61,471000
NWWG-CODICE-1952-2006-MINTO,1971,5,343000,179000,Iceland Grounds,1098000,0.68,453000
NWWG-CODICE-1952-2006-MINTO,1972,5,325000,261000,Iceland Grounds,997000,0.69,399000
NWWG-CODICE-1952-2006-MINTO,1973,5,345000,368000,Iceland Grounds,843000,0.7,383000
NWWG-CODICE-1952-2006-MINTO,1974,5,268000,143000,Iceland Grounds,918000,0.76,375000
NWWG-CODICE-1952-2006-MINTO,1975,5,238000,227000,Iceland Grounds,895000,0.81,371000
NWWG-CODICE-1952-2006-MINTO,1976,5,189000,244000,Iceland Grounds,955000,0.75,348000
NWWG-CODICE-1952-2006-MINTO,1977,5,257000,140000,Iceland Grounds,1290000,0.59,340000
NWWG-CODICE-1952-2006-MINTO,1978,5,269000,141000,Iceland Grounds,1299000,0.48,330000
NWWG-CODICE-1952-2006-MINTO,1979,5,379000,132000,Iceland Grounds,1397000,0.45,368000
NWWG-CODICE-1952-2006-MINTO,1980,5,464000,233000,Iceland Grounds,1489000,0.49,434000
NWWG-CODICE-1952-2006-MINTO,1981,5,385000,139000,Iceland Grounds,1242000,0.66,469000
NWWG-CODICE-1952-2006-MINTO,1982,5,251000,138000,Iceland Grounds,970000,0.73,388000
NWWG-CODICE-1952-2006-MINTO,1983,5,188000,333000,Iceland Grounds,791000,0.72,300000
NWWG-CODICE-1952-2006-MINTO,1984,5,194000,264000,Iceland Grounds,914000,0.64,284000
NWWG-CODICE-1952-2006-MINTO,1985,5,231000,175000,Iceland Grounds,927000,0.67,325000
NWWG-CODICE-1952-2006-MINTO,1986,5,274000,87000,Iceland Grounds,850000,0.78,369000
NWWG-CODICE-1952-2006-MINTO,1987,5,215000,130000,Iceland Grounds,1031000,0.86,392000
NWWG-CODICE-1952-2006-MINTO,1988,5,233000,104000,Iceland Grounds,1038000,0.9,378000
NWWG-CODICE-1952-2006-MINTO,1989,5,225000,173000,Iceland Grounds,1007000,0.72,356000
NWWG-CODICE-1952-2006-MINTO,1990,5,286000,136000,Iceland Grounds,839000,0.7,335000
NWWG-CODICE-1952-2006-MINTO,1991,5,231000,76000,Iceland Grounds,696000,0.8,309000
NWWG-CODICE-1952-2006-MINTO,1992,5,223000,152000,Iceland Grounds,546000,0.85,268000
NWWG-CODICE-1952-2006-MINTO,1993,5,174000,166000,Iceland Grounds,589000,0.87,252000
NWWG-CODICE-1952-2006-MINTO,1994,5,191000,86000,Iceland Grounds,574000,0.63,179000
NWWG-CODICE-1952-2006-MINTO,1995,5,217000,162000,Iceland Grounds,553000,0.51,169000
NWWG-CODICE-1952-2006-MINTO,1996,5,198000,68000,Iceland Grounds,668000,0.51,182000
NWWG-CODICE-1952-2006-MINTO,1997,5,241000,176000,Iceland Grounds,783000,0.55,203000
NWWG-CODICE-1952-2006-MINTO,1998,5,278000,160000,Iceland Grounds,717000,0.66,243000
NWWG-CODICE-1952-2006-MINTO,1999,5,251000,161000,Iceland Grounds,730000,0.75,260000
NWWG-CODICE-1952-2006-MINTO,2000,5,230000,185000,Iceland Grounds,588000,0.76,236000
NWWG-CODICE-1952-2006-MINTO,2001,5,219000,64000,Iceland Grounds,693000,0.75,235000
